ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
b m	0.0	101	11669	18989	0.0
t x	0.0	132	56971	6687	0.0
p ɲ	0.0	191	31656	25683	0.0
l b	0.0	109	22849	11669	0.0
ʂ l	0.0	174	30262	22849	0.0
w g	0.0	70	10014	11885	0.0
g z	0.0	95	11885	18942	0.0
n ɲ	0.0	195	37354	25683	0.0
s s	0.0	292	46604	46604	0.0
v r	0.0	234	35401	40747	0.0
s ʈ	0.0	138	46604	10806	0.0
x t	0.0	120	6687	56971	0.0
ʂ p	0.0	189	30262	31656	0.0
j ɲ	0.0	188	37310	25683	0.0
b v	0.0	123	11669	35401	0.0
r c	0.0	162	40747	17705	0.0
l ʈ	0.0	94	22849	10806	0.0
ʐ w	0.0	49	7688	10014	0.0
l m	0.0	115	22849	18989	0.0
p n	0.0	188	31656	37354	0.0
d d	0.0	100	18321	18321	0.0
j s	0.0	222	37310	46604	0.0
j k	0.0	194	37310	35755	0.0
v l	0.0	151	35401	22849	0.0
ɕ r	0.0	168	24763	40747	0.0
v z	0.0	135	35401	18942	0.0
j m	0.0	138	37310	18989	0.0
f c	0.0	81	14460	17705	0.0
r w	0.0	101	40747	10014	0.0
r l	0.0	151	40747	22849	0.0
ʂ x	0.0	70	30262	6687	0.0
v d	0.0	125	35401	18321	0.0
ʐ l	0.0	65	7688	22849	0.0
r ʂ	0.0	172	40747	30262	0.0
b d	0.0	69	11669	18321	0.0
m f	0.0	78	18989	14460	0.0
m k	0.0	121	18989	35755	0.0
ʂ w	0.0	80	30262	10014	0.0
g d	0.0	67	11885	18321	0.0
l v	0.0	129	22849	35401	0.0
l l	0.0	101	22849	22849	0.0
j d	0.0	115	37310	18321	0.0
n x	0.0	69	37354	6687	0.0
n v	0.0	154	37354	35401	0.0
j ʐ	0.0	71	37310	7688	0.0
ɕ p	0.0	116	24763	31656	0.0
m l	0.0	83	18989	22849	0.0
x j	0.0	60	6687	37310	0.0
f p	0.0	81	14460	31656	0.0
w d	0.0	51	10014	18321	0.0
t c	0.0	119	56971	17705	0.0
w p	0.0	66	10014	31656	0.0
ʑ l	0.0	34	3717	22849	0.0
w n	0.0	71	10014	37354	0.0
ʑ b	0.0	24	3717	11669	0.0
t t	0.0	205	56971	56971	0.0
ʂ m	0.0	85	30262	18989	0.0
v ʐ	0.0	58	35401	7688	0.0
l x	0.0	42	22849	6687	0.0
ʑ n	0.0	39	3717	37354	0.0
p c	0.0	78	31656	17705	0.0
s l	0.0	106	46604	22849	0.0
w ɟ	0.0	15	10014	2143	0.0
t j	0.0	149	56971	37310	0.0
n z	0.0	85	37354	18942	0.0
l d	0.0	65	22849	18321	0.0
ɲ k	0.0	94	25683	35755	0.0
l ʐ	0.0	41	22849	7688	0.0
ʐ g	0.0	29	7688	11885	0.0
t ɕ	0.0	112	56971	24763	0.0
w ʈ	0.0	31	10014	10806	0.0
z ʑ	0.0	25	18942	3717	0.0
s ɕ	0.0	101	46604	24763	0.0
l f	0.0	53	22849	14460	0.0
n ʐ	0.0	49	37354	7688	0.0
ɕ n	0.0	87	24763	37354	0.0
b ɟ	0.0	14	11669	2143	0.0
p ʈ	0.0	51	31656	10806	0.0
x c	0.0	30	6687	17705	0.0
w ʐ	0.0	24	10014	7688	0.0
