ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n ɡ	0.0	242	37273	9126	0.0
f tɕ	0.0	113	5763	12898	0.0
m m	0.0	162	12403	12403	0.0
nʲ j	0.0	313	16518	36528	0.0
k s	0.0	429	30932	36779	0.0
r x	0.0	167	36443	4756	0.0
t lʲ	0.0	315	31043	20272	0.0
f lʲ	0.0	133	5763	20272	0.0
ɣ dʲ	0.0	7	56	5952	0.016
d dʲ	0.0	101	11859	5952	0.0
ʂ kʲ	0.0	74	6618	5776	0.0
t ʂ	0.0	170	31043	6618	0.0
r tʲ	0.0	415	36443	33763	0.0
k tʲ	0.0	382	30932	33763	0.0
m bʲ	0.0	80	12403	3704	0.0
t p	0.0	323	31043	24288	0.0
j s	0.0	431	36528	36779	0.0
z ɡʲ	0.0	65	13880	2211	0.0
z rʲ	0.0	179	13880	16772	0.0
p k	0.0	320	24288	30932	0.0
z lʲ	0.0	194	13880	20272	0.0
x m	0.0	87	4756	12403	0.0
f pʲ	0.0	67	5763	6309	0.0
ɣ d	0.0	9	56	11859	0.004
v r	0.0	345	27065	36443	0.0
n sʲ	0.0	146	37273	4787	0.0
p s	0.0	326	24288	36779	0.0
b mʲ	0.0	82	9086	6233	0.0
b ʐ	0.0	74	9086	5455	0.0
s xʲ	0.0	51	36779	650	0.0
j ʂ	0.0	162	36528	6618	0.0
b m	0.0	110	9086	12403	0.0
r b	0.0	187	36443	9086	0.0
k n	0.0	346	30932	37273	0.0
x t	0.0	123	4756	31043	0.0
f rʲ	0.0	98	5763	16772	0.0
f p	0.0	116	5763	24288	0.0
j n	0.0	361	36528	37273	0.0
f ʂ	0.0	60	5763	6618	0.0
r fʲ	0.0	77	36443	1740	0.0
ʂ p	0.0	122	6618	24288	0.0
r d	0.0	200	36443	11859	0.0
x nʲ	0.0	85	4756	16518	0.0
j k	0.0	319	36528	30932	0.0
n ɡʲ	0.0	86	37273	2211	0.0
d mʲ	0.0	81	11859	6233	0.0
k vʲ	0.0	143	30932	7473	0.0
x mʲ	0.0	51	4756	6233	0.0
d d	0.0	110	11859	11859	0.0
r kʲ	0.0	133	36443	5776	0.0
m mʲ	0.0	79	12403	6233	0.0
k v	0.0	259	30932	27065	0.0
d bʲ	0.0	59	11859	3704	0.0
f l	0.0	81	5763	14418	0.0
p n	0.0	267	24288	37273	0.0
z r	0.0	199	13880	36443	0.0
ʂ pʲ	0.0	56	6618	6309	0.0
b nʲ	0.0	106	9086	16518	0.0
k ts	0.0	185	30932	14887	0.0
f tʲ	0.0	117	5763	33763	0.0
t kʲ	0.0	111	31043	5776	0.0
m ɕ	0.0	55	12403	3580	0.0
sʲ mʲ	0.0	45	4787	6233	0.0
l ɡ	0.0	94	14418	9126	0.0
b vʲ	0.0	67	9086	7473	0.0
m k	0.0	156	12403	30932	0.0
ɣ z	0.0	7	56	13880	0.016
p t	0.0	218	24288	31043	0.0
l ʐ	0.0	69	14418	5455	0.0
r bʲ	0.0	90	36443	3704	0.0
s ʂ	0.0	120	36779	6618	0.0
lʲ t	0.0	191	20272	31043	0.0
r v	0.0	238	36443	27065	0.0
r sʲ	0.0	100	36443	4787	0.0
l t	0.0	160	14418	31043	0.0
l nʲ	0.0	116	14418	16518	0.0
p tɕ	0.0	133	24288	12898	0.0
t l	0.0	158	31043	14418	0.0
t pʲ	0.0	104	31043	6309	0.0
lʲ tɕ	0.0	120	20272	12898	0.0
d l	0.0	97	11859	14418	0.0
d m	0.0	89	11859	12403	0.0
n kʲ	0.0	107	37273	5776	0.0
p tʲ	0.0	206	24288	33763	0.0
n fʲ	0.0	57	37273	1740	0.0
l kʲ	0.0	64	14418	5776	0.0
r pʲ	0.0	106	36443	6309	0.0
s f	0.0	101	36779	5763	0.0
t x	0.0	84	31043	4756	0.0
t sʲ	0.0	84	31043	4787	0.0
s v	0.0	216	36779	27065	0.0
v rʲ	0.0	145	27065	16772	0.0
v l	0.0	134	27065	14418	0.0
ʐ ʐ	0.0	37	5455	5455	0.0
f kʲ	0.0	39	5763	5776	0.0
t ts	0.0	142	31043	14887	0.0
t t	0.0	205	31043	31043	0.0
v d	0.0	117	27065	11859	0.0
ʂ v	0.0	86	6618	27065	0.0
s fʲ	0.0	49	36779	1740	0.0
t mʲ	0.0	85	31043	6233	0.0
ɡ m	0.0	65	9126	12403	0.0
r p	0.0	180	36443	24288	0.0
d zʲ	0.0	29	11859	2018	0.0
r ts	0.0	138	36443	14887	0.0
d z	0.0	76	11859	13880	0.0
f x	0.0	31	5763	4756	0.0
n zʲ	0.0	51	37273	2018	0.0
r vʲ	0.0	97	36443	7473	0.0
l tɕ	0.0	80	14418	12898	0.0
r f	0.0	85	36443	5763	0.0
b dʲ	0.0	43	9086	5952	0.0
ʑ dʲ	0.0	1	5	5952	1.0
ʂ l	0.0	56	6618	14418	0.0
lʲ j	0.0	155	20272	36528	0.0
j nʲ	0.0	138	36528	16518	0.0
lʲ ts	0.0	95	20272	14887	0.0
d ɡʲ	0.0	28	11859	2211	0.0
