ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
p f	0.0	1	37002	16382	1.0
ɾ ɡ	0.0	1	142847	4690	1.0
k m	0.0	2	53194	60679	0.5
ɾ d	0.0	2	142847	32299	0.5
l ɾ	0.0	2	45625	142847	0.5
s ɾ	0.0	4	205606	142847	0.125
m l	0.0	1	60679	45625	1.0
m m	0.0	1	60679	60679	1.0
t k	0.0	1	73879	53194	1.0
j s	0.0	1	32168	205606	1.0
