segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|d|t|ɖ|ɟ|ʈ] [s|ɕ|ʂ]	-strid +strid,-voice	0.0039	50868	106266	102227	0.0
[c|ɖ|ɟ|ʈ] [c|ɕ]	-ant,-strid -back,-voice	0.0039	17794	30974	43037	0.0
[c|ɕ] [c|ɕ]	-back,-voice -back,-voice	0.0038	20935	43037	43037	0.0
[c|ɖ|ɟ|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid +strid	0.0038	30974	30974	131976	0.0
[ɖ|ʈ] [w|ʂ|ʐ]	+back,-strid +back,+cont	0.0038	11126	11126	47964	0.0
[c|ɟ] [c|j|ɕ|ɟ|ʑ]	-back,-strid -ant,-back	0.0038	19848	19848	85638	0.0
[c|ʈ] [f|s|x|ɕ|ʂ]	-ant,-strid,-voice +cont,-voice	0.0037	28602	28615	123972	0.0
[c|ɖ|ɟ|ʈ] [c|j|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-strid -ant	0.0037	30974	30974	134714	0.0
[c|ɕ|ɟ|ʑ] [c|ɕ|ɟ|ʑ]	-back,-son -back,-son	0.0037	23157	48328	48328	0.0
[c|t|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	-strid,-voice +strid	0.0037	50774	85286	131976	0.0
[c|ʈ] [c|ɕ|ɟ|ʑ]	-ant,-strid,-voice -back,-son	0.0037	17761	28615	48328	0.0
[ɖ|ʈ] [ɖ|ʂ|ʈ|ʐ]	+back,-strid +back,-ant	0.0037	11126	11126	49076	0.0
[ʈ] [w|ʂ|ʐ]	+back,-strid,-voice +back,+cont	0.0037	10854	10854	47964	0.0
[ʈ] [ɖ|ʂ|ʈ|ʐ]	+back,-strid,-voice +back,-ant	0.0036	10854	10854	49076	0.0
[c|k|p|t|ʈ] [s|ɕ|ʂ]	-cont,-voice +strid,-voice	0.0035	58386	152638	102227	0.0
[c|d|t|ɖ|ɟ|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	-strid +strid	0.0035	55172	106266	131976	0.0
[c|ɕ|ɟ|ʑ] [j|ɕ|ʑ]	-back,-son +cont,-back	0.0035	26259	48328	65790	0.0
