segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|k|p|t] [s'|ʃ']	-cg,-continuant,-voice +strident,-continuant	0.0024	92	357	92	0.0
[t] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+anterior,-cg,-lateral,-strident,-voice +coronal,-voice	0.0024	247	300	790	0.0
[c|t] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	-cg,-lateral,-voice +coronal,-voice	0.0024	247	300	790	0.0
[c|t|t'|x] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-sonorant,-strident,-voice +strident	0.0023	239	346	651	0.0
[d|t] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-cg,-continuant +strident,-voice	0.0023	239	568	397	0.0
[c|d|t|ɟ] [s|s'|ɬ'|ʃ|ʃ']	-cg,-lateral,-strident +strident,-voice	0.0023	239	568	397	0.0
[c|t|x] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	-cg,-sonorant,-strident,-voice +coronal,-sonorant,-voice	0.0023	239	307	736	0.0
[c|t|x] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	-cg,-sonorant,-strident,-voice +coronal,-voice	0.0023	247	307	790	0.0
[c|s|t|ʃ] [s|s'|ɬ'|ʃ|ʃ']	+coronal,-cg,-sonorant,-voice +strident,-voice	0.0023	239	577	397	0.0
[t|ɬ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-cg,-strident,-voice +strident	0.0023	239	354	651	0.0
[c|t|ɬ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+coronal,-cg,-strident,-voice +strident	0.0023	239	354	651	0.0
[c|k|p|t] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-cg,-continuant,-voice +strident	0.0023	239	357	651	0.0
[t|t'] [s|s'|ɬ']	+anterior,-lateral,-strident,-voice +anterior,+strident,-voice	0.0022	130	339	205	0.0
[c|t|t'] [s|s'|ɬ']	-lateral,-strident,-voice +anterior,+strident,-voice	0.0022	130	339	205	0.0
[s'|t|t'] [s'|ʃ']	+anterior,-lateral,-voice +strident,-continuant	0.0022	92	379	92	0.0
[c|s'|t|t'] [s'|ʃ']	-lateral,-voice +strident,-continuant	0.0022	92	379	92	0.0
[s|s'|t|t'|ɬ|ɬ'] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-voice +strident,-voice	0.0022	239	598	397	0.0
[c|t|t'|x] [s|s'|ɬ']	-sonorant,-strident,-voice +anterior,+strident,-voice	0.0022	130	346	205	0.0
[d|t|t'] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-lateral,-strident +strident,-voice	0.0022	239	607	397	0.0
[c|d|t|t'|ɟ] [s|s'|ɬ'|ʃ|ʃ']	-lateral,-strident +strident,-voice	0.0022	239	607	397	0.0
[d|t] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-cg,-continuant +strident	0.0022	296	568	651	0.0
[c|d|t|ɟ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-cg,-lateral,-strident +strident	0.0022	296	568	651	0.0
[t] [s|ɬ'|ʃ]	+anterior,-cg,-lateral,-strident,-voice +continuant,+strident,-voice	0.0022	147	300	305	0.0
[c|t] [s|ɬ'|ʃ]	-cg,-lateral,-voice +continuant,+strident,-voice	0.0022	147	300	305	0.0
[t|t'|ɬ] [s'|ʃ']	+anterior,-strident,-voice +strident,-continuant	0.0022	92	393	92	0.0
[t|ɬ] [s|s'|ɬ']	+anterior,-cg,-strident,-voice +anterior,+strident,-voice	0.0021	130	354	205	0.0
[c|t|ɬ] [s|s'|ɬ']	+coronal,-cg,-strident,-voice +anterior,+strident,-voice	0.0021	130	354	205	0.0
[s'|t|t'] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-lateral,-voice +strident	0.0021	239	379	651	0.0
[c|s'|t|t'] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-lateral,-voice +strident	0.0021	239	379	651	0.0
[c|k|p|t] [s|s'|ɬ']	-cg,-continuant,-voice +anterior,+strident,-voice	0.0021	130	357	205	0.0
[t] [s|x|ɬ'|ʃ]	+anterior,-cg,-lateral,-strident,-voice +continuant,-sonorant,-voice	0.0021	147	300	312	0.0
[c|t] [s|x|ɬ'|ʃ]	-cg,-lateral,-voice +continuant,-sonorant,-voice	0.0021	147	300	312	0.0
[c|t|x] [s|ɬ'|ʃ]	-cg,-sonorant,-strident,-voice +continuant,+strident,-voice	0.0021	147	307	305	0.0
[t|t'] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	+anterior,-lateral,-strident,-voice +coronal,-sonorant,-voice	0.0021	239	339	736	0.0
[c|t|t'] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	-lateral,-strident,-voice +coronal,-sonorant,-voice	0.0021	239	339	736	0.0
[t|ɬ] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	+anterior,-cg,-strident,-voice +coronal,-sonorant,-voice	0.0021	244	354	736	0.0
[c|t|ɬ] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	+coronal,-cg,-strident,-voice +coronal,-sonorant,-voice	0.0021	244	354	736	0.0
[t|t'] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+anterior,-lateral,-strident,-voice +coronal,-voice	0.0021	247	339	790	0.0
[c|t|t'] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	-lateral,-strident,-voice +coronal,-voice	0.0021	247	339	790	0.0
[t|ɬ] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+anterior,-cg,-strident,-voice +coronal,-voice	0.0021	252	354	790	0.0
[c|t|ɬ] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+coronal,-cg,-strident,-voice +coronal,-voice	0.0021	252	354	790	0.0
[t] [s'|ɬ']	+anterior,-cg,-lateral,-strident,-voice +anterior,+cg,+strident	0.0021	68	300	68	0.0
[c|t] [s'|ɬ']	-cg,-lateral,-voice +anterior,+cg,+strident	0.0021	68	300	68	0.0
[c|t|x] [s|x|ɬ'|ʃ]	-cg,-sonorant,-strident,-voice +continuant,-sonorant,-voice	0.0021	147	307	312	0.0
[t] [k'|s'|t'|ɬ'|ʃ']	+anterior,-cg,-lateral,-strident,-voice +cg,-voice	0.0021	120	300	213	0.0
[c|t] [k'|s'|t'|ɬ'|ʃ']	-cg,-lateral,-voice +cg,-voice	0.0021	120	300	213	0.0
