segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[n|ʎ|r|ɲ|l] [ɡ]	+cor,+cons,+son +voice,+dor	0.0002	1628	71685	4965	0.0
[t|d|s|r|l|z] [ɡ|ɟ|d|b]	+ant,-nas +voice,-cont	0.0002	6322	130315	41528	0.0
[t|ʃ|s|c] [t|ɟ|d|p|b|c|k|ɡ]	+cor,-voice -nas,-cont	0.0002	6933	63509	102581	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [t|s]	-cont +ant,-voice	0.0002	7527	161537	47646	0.0
[ʎ|j|r|l] [ɟ|d]	-syll,+son,-nas -strid,+voice	0.0002	3720	71526	26295	0.0
[t|ʃ|s|c] [t|ɟ|d|c]	+cor,-voice -strid	0.0002	5211	63509	58343	0.0
[ʎ|j|r|l] [d]	-syll,+son,-nas -strid,+voice,+ant	0.0002	3697	71526	26099	0.0
[t|ʃ|s|c] [t|d]	+cor,-voice -strid,+ant	0.0002	5198	63509	58147	0.0
[ʃ|f|v|s|h|ʒ|z] [t|d|s|r|l|z]	-son,+cont +ant,-nas	0.0002	8382	73731	130315	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [t|c]	-cont -strid,-voice	0.0002	6146	161537	32048	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [t]	-cont -strid,+ant,-voice	0.0002	6146	161537	32048	0.0
[n|ʎ|r|ɲ|l] [t|ʃ|f|s|p|c|h|k]	+cor,+cons,+son -voice	0.0002	7432	71685	105672	0.0
[t|n|d] [t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ]	+ant,-cont -cont	0.0002	9594	78431	161537	0.0
[n|r|l] [t|k|p|c]	+ant,+son -voice,-cont	0.0002	5531	69045	61053	0.0
[t|n|ɟ|d|ɲ|c] [t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ]	+cor,-cont -cont	0.0002	9597	78627	161537	0.0
[n|ɲ|m] [ʒ|ɟ|d|z]	+nas +cor,+voice	0.0002	4611	58956	49754	0.0
