ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
rn ty	11.48	5	189	269	0.055
n ng	6.63	4	160	352	0.116
rn ng	5.62	4	189	352	0.116
rr m	2.03	6	691	600	0.026
t l	1.86	1	54	232	1.0
ny p	1.39	2	164	411	0.494
t k	1.1	1	54	394	1.0
n ny	0.89	1	160	164	1.0
ty k	0.88	2	269	394	0.494
t m	0.72	1	54	600	1.0
rr ty	0.5	2	691	269	0.494
ny ng	0.4	1	164	352	1.0
rr y	0.35	2	691	389	0.494
rr p	0.33	2	691	411	0.494
rl p	0.28	1	204	411	1.0
rt ty	0.27	1	317	269	1.0
l k	0.26	1	232	394	1.0
l p	0.24	1	232	411	1.0
rr ny	0.21	1	691	164	1.0
rt k	0.19	1	317	394	1.0
rt p	0.18	1	317	411	1.0
y k	0.15	1	389	394	1.0
