ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
æ l	0.0	1012	12122	29129	0.0
ʒ ɛ	0.0	401	4332	12843	0.0
ɑ f	0.0	342	4332	9379	0.0
ɪ g	0.0	1045	58757	6495	0.0
aɪ n	0.0	863	7988	32884	0.0
t eɪ	0.0	1045	36312	10637	0.0
j ə	0.0	846	4601	55155	0.0
ð ə	0.0	303	591	55155	0.0
aɪ t	0.0	892	7988	36312	0.0
v ɪ	0.0	998	6212	58757	0.0
h aɪ	0.0	287	3880	7988	0.0
w aɪ	0.0	317	4774	7988	0.0
l ɔ	0.0	1018	29129	13555	0.0
u t	0.0	677	4890	36312	0.0
eɪ n	0.0	945	10637	32884	0.0
f ɹ	0.0	795	9379	27149	0.0
i d	0.0	603	6732	21857	0.0
ɪ ɟ	0.0	753	58757	4002	0.0
l d	0.0	1234	29129	21857	0.0
l ɛ	0.0	944	29129	12843	0.0
ɪ ʃ	0.0	1122	58757	9162	0.0
t ɛ	0.0	1039	36312	12843	0.0
ə d	0.0	1669	55155	21857	0.0
ɛ d	0.0	788	12843	21857	0.0
g eɪ	0.0	389	6495	10637	0.0
i n	0.0	696	6732	32884	0.0
ɑ s	0.0	588	4332	36515	0.0
æ p	0.0	657	12122	16398	0.0
k oʊ	0.0	633	23887	7748	0.0
æ t	0.0	967	12122	36312	0.0
f ə	0.0	1046	9379	55155	0.0
z ɪ	0.0	1596	20631	58757	0.0
p ɑ	0.0	386	16398	4332	0.0
ʒ ɔɪ	0.0	86	4332	819	0.0
ɪ ə	0.0	2598	58757	55155	0.0
u z	0.0	451	4890	20631	0.0
ɛ m	0.0	629	12843	15436	0.0
u m	0.0	385	4890	15436	0.0
b ɛ	0.0	534	11438	12843	0.0
ə p	0.0	1324	55155	16398	0.0
d i	0.0	532	21857	6732	0.0
k ɑ	0.0	445	23887	4332	0.0
p oʊ	0.0	493	16398	7748	0.0
n ɟ	0.0	500	32884	4002	0.0
k l	0.0	1149	23887	29129	0.0
l i	0.0	608	29129	6732	0.0
aɪ ə	0.0	905	7988	55155	0.0
ɔ s	0.0	959	13555	36515	0.0
ɑ t	0.0	540	4332	36312	0.0
k ɪ	0.0	1603	23887	58757	0.0
i z	0.0	500	6732	20631	0.0
l u	0.0	505	29129	4890	0.0
m ɔ	0.0	607	15436	13555	0.0
ɛ t	0.0	901	12843	36312	0.0
d j	0.0	418	21857	4601	0.0
ɔ ɹ	0.0	797	13555	27149	0.0
s aɪ	0.0	703	36515	7988	0.0
u p	0.0	368	4890	16398	0.0
oʊ n	0.0	653	7748	32884	0.0
m z	0.0	730	15436	20631	0.0
t j	0.0	528	36312	4601	0.0
i k	0.0	518	6732	23887	0.0
w ʊ	0.0	164	4774	3384	0.0
m oʊ	0.0	443	15436	7748	0.0
ɪ p	0.0	1254	58757	16398	0.0
s i	0.0	631	36515	6732	0.0
i t	0.0	627	6732	36312	0.0
f ɛ	0.0	440	9379	12843	0.0
v ɛ	0.0	358	6212	12843	0.0
p i	0.0	421	16398	6732	0.0
ɑ m	0.0	327	4332	15436	0.0
ɑ n	0.0	475	4332	32884	0.0
ɑ d	0.0	385	4332	21857	0.0
u d	0.0	408	4890	21857	0.0
v aɪ	0.0	277	6212	7988	0.0
d ɛ	0.0	658	21857	12843	0.0
m eɪ	0.0	497	15436	10637	0.0
b ʊ	0.0	241	11438	3384	0.0
æ b	0.0	456	12122	11438	0.0
oʊ t	0.0	648	7748	36312	0.0
oʊ k	0.0	525	7748	23887	0.0
aɪ v	0.0	270	7988	6212	0.0
b ɑ	0.0	268	11438	4332	0.0
m j	0.0	320	15436	4601	0.0
ɛ ə	0.0	1009	12843	55155	0.0
k aʊ	0.0	284	23887	2353	0.0
i m	0.0	386	6732	15436	0.0
t ɔ	0.0	840	36312	13555	0.0
w ə	0.0	613	4774	55155	0.0
p ɔɪ	0.0	138	16398	819	0.0
g oʊ	0.0	267	6495	7748	0.0
p j	0.0	326	16398	4601	0.0
ɹ aʊ	0.0	298	27149	2353	0.0
n c	0.0	353	32884	2730	0.0
u n	0.0	471	4890	32884	0.0
eɪ d	0.0	566	10637	21857	0.0
i p	0.0	390	6732	16398	0.0
æ c	0.0	213	12122	2730	0.0
b ɔɪ	0.0	112	11438	819	0.0
ɔ f	0.0	412	13555	9379	0.0
t aɪ	0.0	619	36312	7988	0.0
g æ	0.0	321	6495	12122	0.0
t æ	0.0	756	36312	12122	0.0
ə f	0.0	813	55155	9379	0.0
θ ɹ	0.0	235	1594	27149	0.0
s l	0.0	1155	36515	29129	0.0
n eɪ	0.0	662	32884	10637	0.0
ɑ k	0.0	359	4332	23887	0.0
g l	0.0	484	6495	29129	0.0
p eɪ	0.0	464	16398	10637	0.0
ɔɪ n	0.0	182	819	32884	0.0
b oʊ	0.0	328	11438	7748	0.0
eɪ v	0.0	282	10637	6212	0.0
ə k	0.0	1254	55155	23887	0.0
ɑ ð	0.0	55	4332	591	0.0
eɪ z	0.0	508	10637	20631	0.0
p s	0.0	838	16398	36515	0.0
d ɹ	0.0	834	21857	27149	0.0
g z	0.0	395	6495	20631	0.0
ɛ ð	0.0	94	12843	591	0.0
t oʊ	0.0	572	36312	7748	0.0
l ɑ	0.0	383	29129	4332	0.0
ɹ ɑ	0.0	369	27149	4332	0.0
æ ɹ	0.0	613	12122	27149	0.0
ɔɪ l	0.0	165	819	29129	0.0
ɔ b	0.0	415	13555	11438	0.0
oʊ p	0.0	373	7748	16398	0.0
ə ɟ	0.0	491	55155	4002	0.0
z ə	0.0	1110	20631	55155	0.0
ʃ ʊ	0.0	182	9162	3384	0.0
ʊ k	0.0	293	3384	23887	0.0
s w	0.0	429	36515	4774	0.0
ɔ θ	0.0	151	13555	1594	0.0
i l	0.0	454	6732	29129	0.0
m aɪ	0.0	360	15436	7988	0.0
ʒ ʊ	0.0	124	4332	3384	0.0
ʃ ɑ	0.0	203	9162	4332	0.0
ə g	0.0	607	55155	6495	0.0
ɛ p	0.0	461	12843	16398	0.0
æ ʃ	0.0	334	12122	9162	0.0
g ɑ	0.0	168	6495	4332	0.0
f j	0.0	208	9379	4601	0.0
oʊ m	0.0	345	7748	15436	0.0
eɪ l	0.0	555	10637	29129	0.0
eɪ k	0.0	496	10637	23887	0.0
eɪ s	0.0	613	10637	36515	0.0
oʊ d	0.0	401	7748	21857	0.0
eɪ ɟ	0.0	201	10637	4002	0.0
ɛ v	0.0	273	12843	6212	0.0
d aɪ	0.0	401	21857	7988	0.0
n f	0.0	532	32884	9379	0.0
n aɪ	0.0	490	32884	7988	0.0
ŋ z	0.0	421	9515	20631	0.0
ʊ m	0.0	217	3384	15436	0.0
v eɪ	0.0	243	6212	10637	0.0
æ s	0.0	627	12122	36515	0.0
f oʊ	0.0	254	9379	7748	0.0
i f	0.0	235	6732	9379	0.0
b j	0.0	214	11438	4601	0.0
t i	0.0	458	36312	6732	0.0
i s	0.0	455	6732	36515	0.0
b i	0.0	254	11438	6732	0.0
f æ	0.0	305	9379	12122	0.0
v æ	0.0	248	6212	12122	0.0
v z	0.0	323	6212	20631	0.0
d ɔ	0.0	489	21857	13555	0.0
oʊ b	0.0	265	7748	11438	0.0
b aɪ	0.0	269	11438	7988	0.0
n ɔ	0.0	592	32884	13555	0.0
ə v	0.0	518	55155	6212	0.0
oʊ g	0.0	197	7748	6495	0.0
i c	0.0	118	6732	2730	0.0
p aɪ	0.0	314	16398	7988	0.0
θ ɪ	0.0	265	1594	58757	0.0
ʃ ɔ	0.0	303	9162	13555	0.0
p t	0.0	662	16398	36312	0.0
oʊ s	0.0	456	7748	36515	0.0
ɑ ɟ	0.0	112	4332	4002	0.0
f i	0.0	211	9379	6732	0.0
g ɔ	0.0	249	6495	13555	0.0
k ʃ	0.0	392	23887	9162	0.0
l j	0.0	305	29129	4601	0.0
s ɔ	0.0	585	36515	13555	0.0
b eɪ	0.0	290	11438	10637	0.0
n oʊ	0.0	417	32884	7748	0.0
æ d	0.0	425	12122	21857	0.0
ɔ ŋ	0.0	296	13555	9515	0.0
h ʊ	0.0	94	3880	3384	0.0
f t	0.0	474	9379	36312	0.0
ɔ c	0.0	156	13555	2730	0.0
aɪ l	0.0	390	7988	29129	0.0
ɛ g	0.0	233	12843	6495	0.0
ɛ ɹ	0.0	470	12843	27149	0.0
aʊ z	0.0	175	2353	20631	0.0
u s	0.0	334	4890	36515	0.0
h i	0.0	127	3880	6732	0.0
u l	0.0	295	4890	29129	0.0
f eɪ	0.0	245	9379	10637	0.0
ʃ eɪ	0.0	241	9162	10637	0.0
θ ə	0.0	228	1594	55155	0.0
d aʊ	0.0	173	21857	2353	0.0
ɔ ɟ	0.0	177	13555	4002	0.0
b aʊ	0.0	124	11438	2353	0.0
m i	0.0	243	15436	6732	0.0
l aʊ	0.0	197	29129	2353	0.0
aɪ m	0.0	263	7988	15436	0.0
ɑ c	0.0	81	4332	2730	0.0
d eɪ	0.0	359	21857	10637	0.0
h ə	0.0	343	3880	55155	0.0
ɹ ʊ	0.0	224	27149	3384	0.0
ʃ ɛ	0.0	253	9162	12843	0.0
ʒ u	0.0	107	4332	4890	0.0
ʒ æ	0.0	167	4332	12122	0.0
ɑ b	0.0	162	4332	11438	0.0
ʃ i	0.0	180	9162	6732	0.0
n v	0.0	325	32884	6212	0.0
ʊ d	0.0	195	3384	21857	0.0
ɛ ɟ	0.0	162	12843	4002	0.0
ʃ æ	0.0	237	9162	12122	0.0
æ v	0.0	195	12122	6212	0.0
ɪ b	0.0	582	58757	11438	0.0
s æ	0.0	472	36515	12122	0.0
u b	0.0	167	4890	11438	0.0
t ɑ	0.0	280	36312	4332	0.0
u v	0.0	123	4890	6212	0.0
aɪ k	0.0	308	7988	23887	0.0
aʊ θ	0.0	43	2353	1594	0.0
ɔɪ z	0.0	90	819	20631	0.0
eɪ b	0.0	240	10637	11438	0.0
p aʊ	0.0	135	16398	2353	0.0
z d	0.0	458	20631	21857	0.0
h j	0.0	90	3880	4601	0.0
d oʊ	0.0	274	21857	7748	0.0
oʊ ð	0.0	45	7748	591	0.0
eɪ p	0.0	276	10637	16398	0.0
n θ	0.0	151	32884	1594	0.0
v ɔɪ	0.0	47	6212	819	0.0
u θ	0.0	58	4890	1594	0.0
ð z	0.0	72	591	20631	0.0
g j	0.0	112	6495	4601	0.0
eɪ m	0.0	262	10637	15436	0.0
aɪ p	0.0	234	7988	16398	0.0
t l	0.0	662	36312	29129	0.0
ɔɪ d	0.0	86	819	21857	0.0
aʊ ə	0.0	231	2353	55155	0.0
aʊ s	0.0	186	2353	36515	0.0
f aʊ	0.0	94	9379	2353	0.0
u ð	0.0	34	4890	591	0.0
ʒ i	0.0	108	4332	6732	0.0
n ʃ	0.0	347	32884	9162	0.0
n æ	0.0	397	32884	12122	0.0
g ɪ	0.0	388	6495	58757	0.0
f ɑ	0.0	126	9379	4332	0.0
ɛ θ	0.0	89	12843	1594	0.0
u f	0.0	133	4890	9379	0.0
l t	0.0	638	29129	36312	0.0
t w	0.0	257	36312	4774	0.0
w æ	0.0	148	4774	12122	0.0
aɪ b	0.0	185	7988	11438	0.0
l f	0.0	317	29129	9379	0.0
b u	0.0	143	11438	4890	0.0
h eɪ	0.0	122	3880	10637	0.0
ɛ ʃ	0.0	205	12843	9162	0.0
θ ɔ	0.0	87	1594	13555	0.0
v j	0.0	100	6212	4601	0.0
ɑ θ	0.0	49	4332	1594	0.0
n ɛ	0.0	383	32884	12843	0.0
n k	0.0	521	32884	23887	0.0
s n	0.0	643	36515	32884	0.0
aʊ d	0.0	133	2353	21857	0.0
ɔ ʃ	0.0	205	13555	9162	0.0
aɪ f	0.0	159	7988	9379	0.0
ɛ f	0.0	201	12843	9379	0.0
ʊ t	0.0	203	3384	36312	0.0
s eɪ	0.0	360	36515	10637	0.0
aʊ c	0.0	46	2353	2730	0.0
ŋ l	0.0	302	9515	29129	0.0
s m	0.0	430	36515	15436	0.0
aɪ s	0.0	308	7988	36515	0.0
ɹ ɔɪ	0.0	85	27149	819	0.0
l ɔɪ	0.0	88	29129	819	0.0
ʃ u	0.0	120	9162	4890	0.0
θ w	0.0	49	1594	4774	0.0
i ð	0.0	35	6732	591	0.0
h ɪ	0.0	264	3880	58757	0.0
æ f	0.0	186	12122	9379	0.0
w ɑ	0.0	79	4774	4332	0.0
d l	0.0	437	21857	29129	0.0
i g	0.0	113	6732	6495	0.0
æ ɟ	0.0	119	12122	4002	0.0
u ʃ	0.0	114	4890	9162	0.0
p ʊ	0.0	126	16398	3384	0.0
g w	0.0	94	6495	4774	0.0
θ i	0.0	55	1594	6732	0.0
g n	0.0	244	6495	32884	0.0
ʊ eɪ	0.0	100	3384	10637	0.0
ɪ c	0.0	211	58757	2730	0.0
s oʊ	0.0	280	36515	7748	0.0
v oʊ	0.0	113	6212	7748	0.0
ʒ d	0.0	158	4332	21857	0.0
ɹ v	0.0	210	27149	6212	0.0
ʒ ɔ	0.0	123	4332	13555	0.0
n i	0.0	236	32884	6732	0.0
v l	0.0	213	6212	29129	0.0
s u	0.0	211	36515	4890	0.0
ɔ z	0.0	262	13555	20631	0.0
θ s	0.0	119	1594	36515	0.0
m aʊ	0.0	93	15436	2353	0.0
i ɟ	0.0	80	6732	4002	0.0
ɑ v	0.0	79	4332	6212	0.0
ɛ c	0.0	90	12843	2730	0.0
v i	0.0	98	6212	6732	0.0
n h	0.0	167	32884	3880	0.0
t u	0.0	196	36312	4890	0.0
ə ŋ	0.0	336	55155	9515	0.0
k u	0.0	158	23887	4890	0.0
k c	0.0	118	23887	2730	0.0
oʊ ʃ	0.0	123	7748	9162	0.0
oʊ c	0.0	67	7748	2730	0.0
ɹ m	0.0	298	27149	15436	0.0
h u	0.0	63	3880	4890	0.0
θ ɛ	0.0	65	1594	12843	0.0
æ θ	0.0	62	12122	1594	0.0
m u	0.0	122	15436	4890	0.0
i b	0.0	123	6732	11438	0.0
ʃ t	0.0	253	9162	36312	0.0
t h	0.0	163	36312	3880	0.0
z eɪ	0.0	203	20631	10637	0.0
d æ	0.0	223	21857	12122	0.0
u ʒ	0.0	63	4890	4332	0.0
ð ɪ	0.0	80	591	58757	0.0
ɪ eɪ	0.0	330	58757	10637	0.0
ɹ k	0.0	331	27149	23887	0.0
f s	0.0	239	9379	36515	0.0
s c	0.0	128	36515	2730	0.0
k i	0.0	162	23887	6732	0.0
ʃ oʊ	0.0	107	9162	7748	0.0
ɑ z	0.0	120	4332	20631	0.0
v ɔ	0.0	116	6212	13555	0.0
l v	0.0	170	29129	6212	0.0
ɔɪ s	0.0	69	819	36515	0.0
ɪ ɪ	0.0	735	58757	58757	0.0
s f	0.0	231	36515	9379	0.0
ɑ l	0.0	140	4332	29129	0.0
oʊ f	0.0	106	7748	9379	0.0
m d	0.0	228	15436	21857	0.0
ə ʃ	0.0	278	55155	9162	0.0
ʒ aɪ	0.0	72	4332	7988	0.0
ʊ ʃ	0.0	67	3384	9162	0.0
b z	0.0	182	11438	20631	0.0
ə w	0.0	192	55155	4774	0.0
ɹ t	0.0	368	27149	36312	0.0
ɑ g	0.0	62	4332	6495	0.0
d w	0.0	119	21857	4774	0.0
ɹ ɟ	0.0	121	27149	4002	0.0
eɪ ð	0.0	29	10637	591	0.0
t f	0.0	213	36312	9379	0.0
j ɑ	0.0	51	4601	4332	0.0
v d	0.0	133	6212	21857	0.0
ɑ p	0.0	95	4332	16398	0.0
b s	0.0	229	11438	36515	0.0
i h	0.0	57	6732	3880	0.0
oʊ θ	0.0	39	7748	1594	0.0
ɹ θ	0.0	73	27149	1594	0.0
ɪ ð	0.0	65	58757	591	0.0
v ɑ	0.0	57	6212	4332	0.0
p u	0.0	98	16398	4890	0.0
ə θ	0.0	101	55155	1594	0.0
ə c	0.0	132	55155	2730	0.0
i ʃ	0.0	84	6732	9162	0.0
i θ	0.0	35	6732	1594	0.0
ɹ n	0.0	319	27149	32884	0.0
g ʊ	0.0	50	6495	3384	0.0
ɹ s	0.0	333	27149	36515	0.0
ɹ c	0.0	91	27149	2730	0.0
ɪ θ	0.0	102	58757	1594	0.0
z m	0.0	188	20631	15436	0.0
ʃ aɪ	0.0	90	9162	7988	0.0
