ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
f ɛ	0.0	42	345	1923	0.0
p ɔ	0.0	51	605	1676	0.0
ɗ ɔ	0.0	45	481	1676	0.0
u ŋ	0.0	78	1820	1349	0.0
ɓ ɔ	0.0	43	447	1676	0.0
ɓ ɛ	0.0	46	447	1923	0.0
i t	0.0	57	1702	800	0.0
w u	0.0	36	300	1820	0.0
z ɔ	0.0	50	643	1676	0.0
a f	0.0	59	4385	345	0.0
ɡ i	0.0	91	2124	1702	0.0
a j	0.0	57	4385	324	0.0
ɔ m	0.0	68	1676	1275	0.0
s ɛ̃	0.0	17	683	199	0.0
t ɔ̃	0.0	17	800	176	0.0
t ɛ̃	0.0	18	800	199	0.0
ɔ s	0.0	48	1676	683	0.0
k ã	0.0	32	1864	275	0.0
f i	0.0	34	345	1702	0.0
ĩ ĩ	0.0	5	115	115	0.062
ɗ e	0.0	28	481	913	0.0
ɛ̃ ɛ	0.0	26	199	1923	0.0
i s	0.0	45	1702	683	0.0
o m	0.0	59	1597	1275	0.0
s o	0.0	43	683	1597	0.0
a ɡ	0.0	125	4385	2124	0.0
i r	0.0	19	1702	127	0.0
ɔ j	0.0	30	1676	324	0.0
ɔ t	0.0	47	1676	800	0.0
z ã	0.0	17	643	275	0.0
h ɛ̃	0.0	6	112	199	0.031
l ɔ̃	0.0	26	2378	176	0.0
n u	0.0	57	1116	1820	0.0
i ɗ	0.0	36	1702	481	0.0
h ũ	0.0	4	112	92	0.125
u n	0.0	56	1820	1116	0.0
n i	0.0	54	1116	1702	0.0
ɛ ɛ	0.0	75	1923	1923	0.0
f ã	0.0	12	345	275	0.0
a z	0.0	65	4385	643	0.0
ũ l	0.0	18	92	2378	0.0
ɓ i	0.0	33	447	1702	0.0
o r	0.0	17	1597	127	0.0
h a	0.0	26	112	4385	0.0
u a	0.0	104	1820	4385	0.0
w ɔ	0.0	26	300	1676	0.0
k ɔ̃	0.0	21	1864	176	0.0
z o	0.0	37	643	1597	0.0
b ã	0.0	26	1855	275	0.0
ɔ ɗ	0.0	32	1676	481	0.0
o ɓ	0.0	30	1597	447	0.0
d ɛ̃	0.0	15	908	199	0.0
ɛ m	0.0	55	1923	1275	0.0
a w	0.0	40	4385	300	0.0
s ã	0.0	15	683	275	0.0
ɛ r	0.0	17	1923	127	0.0
u f	0.0	27	1820	345	0.0
d ĩ	0.0	11	908	115	0.001
ɛ s	0.0	39	1923	683	0.0
ɔ̃ l	0.0	22	176	2378	0.0
a ɲ	0.0	26	4385	134	0.0
j o	0.0	24	324	1597	0.0
e ŋ	0.0	37	913	1349	0.0
z ĩ	0.0	9	643	115	0.004
v ɔ̃	0.0	5	130	176	0.062
ŋ a	0.0	80	1349	4385	0.0
ɔ ɔ	0.0	55	1676	1676	0.0
j i	0.0	24	324	1702	0.0
i i	0.0	54	1702	1702	0.0
ĩ i	0.0	14	115	1702	0.0
w ɛ	0.0	24	300	1923	0.0
o n	0.0	42	1597	1116	0.0
o o	0.0	50	1597	1597	0.0
ɛ ɓ	0.0	29	1923	447	0.0
u ɓ	0.0	28	1820	447	0.0
v u	0.0	15	130	1820	0.0
k e	0.0	40	1864	913	0.0
p ɔ̃	0.0	10	605	176	0.002
z e	0.0	23	643	913	0.0
l ũ	0.0	14	2378	92	0.0
h i	0.0	13	112	1702	0.0
v i	0.0	14	130	1702	0.0
m u	0.0	45	1275	1820	0.0
ɔ ɓ	0.0	25	1676	447	0.0
p ɛ̃	0.0	10	605	199	0.002
u v	0.0	14	1820	130	0.0
f e	0.0	16	345	913	0.0
d ã	0.0	14	908	275	0.0
n ɔ	0.0	38	1116	1676	0.0
h ɔ	0.0	12	112	1676	0.0
f ɔ	0.0	21	345	1676	0.0
o t	0.0	31	1597	800	0.0
a b	0.0	78	4385	1855	0.0
e k	0.0	35	913	1864	0.0
ɓ ɛ̃	0.0	8	447	199	0.008
ĩ l	0.0	14	115	2378	0.0
h u	0.0	12	112	1820	0.0
ɡ ɔ̃	0.0	16	2124	176	0.0
h o	0.0	11	112	1597	0.001
n ɛ	0.0	38	1116	1923	0.0
h ɛ	0.0	12	112	1923	0.0
e n	0.0	26	913	1116	0.0
o e	0.0	31	1597	913	0.0
t ã	0.0	12	800	275	0.0
u u	0.0	46	1820	1820	0.0
i ɲ	0.0	12	1702	134	0.0
i m	0.0	37	1702	1275	0.0
i ã	0.0	17	1702	275	0.0
i f	0.0	19	1702	345	0.0
e t	0.0	21	913	800	0.0
a d	0.0	49	4385	908	0.0
ɛ f	0.0	20	1923	345	0.0
a a	0.0	107	4385	4385	0.0
n w	0.0	14	1116	300	0.0
e ɗ	0.0	16	913	481	0.0
s e	0.0	19	683	913	0.0
z ɔ̃	0.0	8	643	176	0.008
ŋ ɛ	0.0	38	1349	1923	0.0
j ã	0.0	7	324	275	0.016
ŋ ɔ	0.0	35	1349	1676	0.0
d ɔ̃	0.0	9	908	176	0.004
ɡ ã	0.0	17	2124	275	0.0
ɔ̃ ɔ	0.0	12	176	1676	0.0
ɔ r	0.0	10	1676	127	0.002
ɛ ɲ	0.0	11	1923	134	0.001
i j	0.0	16	1702	324	0.0
a r	0.0	16	4385	127	0.0
ɛ ɡ	0.0	42	1923	2124	0.0
ĩ j	0.0	4	115	324	0.125
i ɓ	0.0	18	1702	447	0.0
e r	0.0	7	913	127	0.016
ɛ d	0.0	27	1923	908	0.0
ɓ e	0.0	13	447	913	0.0
ɔ a	0.0	55	1676	4385	0.0
o f	0.0	15	1597	345	0.0
o s	0.0	21	1597	683	0.0
v ɛ	0.0	10	130	1923	0.002
s ũ	0.0	5	683	92	0.062
ɛ z	0.0	22	1923	643	0.0
ɛ w	0.0	15	1923	300	0.0
o z	0.0	20	1597	643	0.0
ũ u	0.0	8	92	1820	0.008
ɔ v	0.0	9	1676	130	0.004
ɔ ɲ	0.0	9	1676	134	0.004
ɔ̃ ɛ	0.0	11	176	1923	0.001
v ɛ̃	0.0	3	130	199	0.25
o ɡ	0.0	34	1597	2124	0.0
ã s	0.0	8	275	683	0.008
m i	0.0	27	1275	1702	0.0
m ĩ	0.0	7	1275	115	0.016
u j	0.0	14	1820	324	0.0
i w	0.0	13	1702	300	0.0
b ɔ̃	0.0	10	1855	176	0.002
a v	0.0	13	4385	130	0.0
ɛ̃ a	0.0	16	199	4385	0.0
i v	0.0	8	1702	130	0.008
p ũ	0.0	4	605	92	0.125
b ũ	0.0	7	1855	92	0.016
j u	0.0	13	324	1820	0.0
ũ k	0.0	7	92	1864	0.016
r h	0.0	2	127	112	0.5
ɔ ɛ	0.0	30	1676	1923	0.0
e s	0.0	13	913	683	0.0
b ɛ̃	0.0	10	1855	199	0.002
k ɛ̃	0.0	10	1864	199	0.002
i o	0.0	26	1702	1597	0.0
j ɛ̃	0.0	4	324	199	0.125
u d	0.0	20	1820	908	0.0
ɔ z	0.0	16	1676	643	0.0
