ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
s R	0.0	4	69852	1559	0.125
s dz	0.0	8	69852	6390	0.008
t p	0.0	12	50669	20112	0.0
w m	0.0	7	13352	27713	0.016
h t	0.0	6	5668	50669	0.031
t k	0.0	15	50669	43812	0.0
t f	0.0	6	50669	8291	0.031
t m	0.0	10	50669	27713	0.002
s dʒ	0.0	3	69852	2050	0.25
f f	0.0	2	8291	8291	0.5
j r	0.0	2	1364	54177	0.5
m dz	0.0	3	27713	6390	0.25
b g	0.0	2	11306	7708	0.5
t g	0.0	4	50669	7708	0.125
h s	0.0	4	5668	69852	0.125
s T	0.0	1	69852	565	1.0
S t	0.0	2	3256	50669	0.5
k m	0.0	5	43812	27713	0.062
p m	0.0	3	20112	27713	0.25
k dz	0.0	2	43812	6390	0.5
d tʃ	0.0	1	13721	6951	1.0
g t	0.0	2	7708	50669	0.5
p h	0.0	1	20112	5668	1.0
w n	0.0	2	13352	39661	0.5
f s	0.0	2	8291	69852	0.5
w t	0.0	2	13352	50669	0.5
p k	0.0	2	20112	43812	0.5
L s	0.0	1	3269	69852	1.0
l r	0.0	2	25852	54177	0.5
t tʃ	0.0	1	50669	6951	1.0
k b	0.0	1	43812	11306	1.0
g s	0.0	1	7708	69852	1.0
k d	0.0	1	43812	13721	1.0
w r	0.0	1	13352	54177	1.0
