ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
f s	0.0	2	8291	54611	0.5
k d	0.0	3	50763	20111	0.25
p h	0.0	1	20112	5668	1.0
g t	0.0	2	9758	50669	0.5
w n	0.0	2	13352	39661	0.5
w t	0.0	2	13352	50669	0.5
L s	0.0	1	3269	54611	1.0
p k	0.0	2	20112	50763	0.5
l r	0.0	2	25852	54177	0.5
g s	0.0	1	9758	54611	1.0
k b	0.0	1	50763	11306	1.0
w r	0.0	1	13352	54177	1.0
