segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	-syllabic -nasal,+consonantal	0.002	88984	338903	271693	0.0
[g|b|d|ɟ] [ʒ]	+voice,-continuant +voice,+strident,-anterior	0.002	4007	43792	4332	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	+consonantal -nasal,+coronal	0.002	73535	329528	194004	0.0
[ɟ] [ʒ|ɟ|ɹ|c|ʃ]	+voice,-continuant,-anterior -anterior	0.002	4002	4002	47375	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-syllabic -nasal,+coronal	0.002	73535	338903	194004	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-continuant -nasal,+coronal	0.0019	53543	180954	194004	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	-continuant +continuant,-syllabic	0.0019	47988	180954	157949	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	+consonantal +consonantal	0.0019	93524	329528	329528	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-syllabic +consonantal	0.0019	93524	338903	329528	0.0
[ʒ|ɟ|ɹ|c|ʃ] [ʒ]	-anterior +voice,+strident,-anterior	0.0019	4002	47375	4332	0.0
[ɟ] [ʒ|ɟ|d|z|ð]	+voice,-continuant,-anterior +voice,+coronal	0.0019	4002	4002	51413	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	-continuant -nasal,+consonantal	0.0018	61775	180954	271693	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	+consonantal +coronal	0.0018	75935	329528	226888	0.0
[ʒ|ɟ] [ʒ|z]	+voice,-anterior +voice,+strident	0.0018	4002	8334	24963	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-continuant -syllabic	0.0018	68502	180954	338903	0.0
[ʒ|ɟ] [ð|ʒ|z]	+voice,-anterior +continuant,+voice,+coronal	0.0018	4002	8334	25554	0.0
