ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
p ʎ	0.0	1	545	102	1.0
m n	0.0	3	756	665	0.25
h n	0.0	2	357	665	0.5
h s	0.0	2	357	691	0.5
k z	0.0	3	2144	262	0.25
t z	0.0	3	2165	262	0.25
m t	0.0	5	756	2165	0.062
m h	0.0	2	756	357	0.5
s ʎ	0.0	1	691	102	1.0
t c	0.0	1	2165	34	1.0
dʒ v	0.0	1	294	258	1.0
s r	0.0	3	691	995	0.25
dʒ z	0.0	1	294	262	1.0
j s	0.0	2	448	691	0.5
tʃ l	0.0	2	405	797	0.5
f d	0.0	1	219	370	1.0
m j	0.0	2	756	448	0.5
f tʃ	0.0	1	219	405	1.0
h v	0.0	1	357	258	1.0
ʃ d	0.0	1	250	370	1.0
z h	0.0	1	262	357	1.0
d v	0.0	1	370	258	1.0
v d	0.0	1	258	370	1.0
tʃ k	0.0	3	405	2144	0.25
k m	0.0	4	2144	756	0.125
p ɡ	0.0	1	545	186	1.0
tʃ v	0.0	1	405	258	1.0
h dʒ	0.0	1	357	294	1.0
k b	0.0	3	2144	451	0.25
t b	0.0	3	2165	451	0.25
dʒ d	0.0	1	294	370	1.0
ʃ b	0.0	1	250	451	1.0
v j	0.0	1	258	448	1.0
p f	0.0	1	545	219	1.0
t ʃ	0.0	2	2165	250	0.5
ʃ p	0.0	1	250	545	1.0
k v	0.0	2	2144	258	0.5
z k	0.0	2	262	2144	0.5
h tʃ	0.0	1	357	405	1.0
k dʒ	0.0	2	2144	294	0.5
k n	0.0	3	2144	665	0.25
t n	0.0	3	2165	665	0.25
d j	0.0	1	370	448	1.0
n ʃ	0.0	1	665	250	1.0
b d	0.0	1	451	370	1.0
d b	0.0	1	370	451	1.0
ʃ s	0.0	1	250	691	1.0
z n	0.0	1	262	665	1.0
tʃ b	0.0	1	405	451	1.0
t k	0.0	5	2165	2144	0.062
m ʃ	0.0	1	756	250	1.0
h k	0.0	2	357	2144	0.5
k d	0.0	2	2144	370	0.5
l v	0.0	1	797	258	1.0
k ʎ	0.0	1	2144	102	1.0
dʒ l	0.0	1	294	797	1.0
n h	0.0	1	665	357	1.0
k j	0.0	2	2144	448	0.5
s d	0.0	1	691	370	1.0
s tʃ	0.0	1	691	405	1.0
p k	0.0	2	545	2144	0.5
d l	0.0	1	370	797	1.0
tʃ m	0.0	1	405	756	1.0
p n	0.0	1	545	665	1.0
n p	0.0	1	665	545	1.0
k ɡ	0.0	1	2144	186	1.0
t ɡ	0.0	1	2165	186	1.0
t m	0.0	2	2165	756	0.5
p m	0.0	1	545	756	1.0
f k	0.0	1	219	2144	1.0
t f	0.0	1	2165	219	1.0
k ʃ	0.0	1	2144	250	1.0
t h	0.0	1	2165	357	1.0
k p	0.0	1	2144	545	1.0
t s	0.0	1	2165	691	1.0
m k	0.0	1	756	2144	1.0
