ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
θ k	0.0	8	1594	23887	0.008
k θ	0.0	8	23887	1594	0.008
θ h	0.0	3	1594	3880	0.25
t cʃ	0.0	12	36312	2728	0.0
m t	0.0	28	15436	36312	0.0
p θ	0.0	6	16398	1594	0.031
ð b	0.0	3	591	11438	0.25
g f	0.0	9	6495	9379	0.004
f n	0.0	20	9379	32884	0.0
ɟʒ k	0.0	11	4002	23887	0.001
f d	0.0	15	9379	21857	0.0
ʃ f	0.0	8	6434	9379	0.008
ŋ n	0.0	18	9515	32884	0.0
v s	0.0	15	6212	36515	0.0
ɟʒ p	0.0	8	4002	16398	0.008
m ɹ	0.0	20	15436	27149	0.0
g t	0.0	15	6495	36312	0.0
g k	0.0	12	6495	23887	0.0
cʃ n	0.0	9	2728	32884	0.004
v t	0.0	14	6212	36312	0.0
z ɹ	0.0	22	20631	27149	0.0
g ʃ	0.0	6	6495	6434	0.031
ʃ d	0.0	11	6434	21857	0.001
m v	0.0	9	15436	6212	0.004
p p	0.0	15	16398	16398	0.0
f m	0.0	11	9379	15436	0.001
s ʃ	0.0	14	36515	6434	0.0
d cʃ	0.0	7	21857	2728	0.016
z h	0.0	8	20631	3880	0.008
z p	0.0	16	20631	16398	0.0
p ɟʒ	0.0	7	16398	4002	0.016
t ɟʒ	0.0	10	36312	4002	0.002
z k	0.0	18	20631	23887	0.0
m θ	0.0	4	15436	1594	0.125
v f	0.0	6	6212	9379	0.031
m m	0.0	12	15436	15436	0.0
m ɟʒ	0.0	6	15436	4002	0.031
t v	0.0	10	36312	6212	0.002
ɟʒ s	0.0	8	4002	36515	0.008
v k	0.0	8	6212	23887	0.008
f ʃ	0.0	5	9379	6434	0.062
k g	0.0	8	23887	6495	0.008
θ ʃ	0.0	2	1594	6434	0.5
ʃ ʃ	0.0	4	6434	6434	0.125
z v	0.0	7	20631	6212	0.016
ɟʒ cʃ	0.0	2	4002	2728	0.5
