segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+consonantal -sonorant	0.0018	68223	329528	215415	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-nasal,+consonantal -nasal,-syllabic	0.0018	70394	271693	281068	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-syllabic +continuant,-syllabic	0.0018	58622	338903	157949	0.0
[b|p|d|k|t|g] [ʒ|ɹ|ʃ]	-continuant,-sonorant -anterior	0.0018	17903	123119	40643	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-syllabic -sonorant	0.0018	68223	338903	215415	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-sonorant -nasal,-syllabic	0.0018	62096	215415	281068	0.0
[l|n|ð|z|d|s|θ|t] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+anterior -nasal,+consonantal	0.0018	56535	186245	271693	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+coronal -nasal,-syllabic	0.0017	63338	226888	281068	0.0
[l|n|ð|z|d|s|θ|t] [ʒ|ð|z|d|s|ʃ|θ|t]	+anterior +coronal,-sonorant	0.0017	40117	186245	137726	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-nasal,-syllabic -nasal,-syllabic	0.0017	70395	281068	281068	0.0
