ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɴ q'	21.44	5	78	173	0.062
ŋ kʰ	3.67	2	45	280	0.499
ʃ pʰ	2.58	5	645	174	0.062
ɲ tʃʰ	2.56	5	926	122	0.062
j tʃ'	2.11	12	2613	302	0.0
x t'	1.77	10	2273	287	0.002
r k	1.76	37	2902	3094	0.0
j m	1.7	34	2613	3003	0.0
r q'	1.13	7	2902	173	0.015
x tʃ'	1.08	8	2273	302	0.008
l w	1.08	7	244	2154	0.015
j q'	0.92	6	2613	173	0.031
j r	0.81	23	2613	2902	0.0
s p'	0.8	6	2536	205	0.031
m pʰ	0.8	6	3003	174	0.031
x j	0.78	20	2273	2613	0.0
l m	0.77	7	244	3003	0.015
r kʰ	0.7	7	2902	280	0.015
ʃ w	0.53	8	645	2154	0.008
j s	0.5	17	2613	2536	0.0
r w	0.47	16	2902	2154	0.0
x p	0.47	18	2273	3517	0.0
x w	0.4	13	2273	2154	0.0
j t'	0.39	5	2613	287	0.062
ʎ k'	0.35	3	1500	199	0.249
j tʃʰ	0.33	3	2613	122	0.249
ʎ m	0.31	11	1500	3003	0.001
w tʃ'	0.28	4	2154	302	0.124
r t	0.25	15	2902	3594	0.0
l k'	0.24	1	244	199	1.0
n r	0.19	16	5283	2902	0.0
s t	0.18	12	2536	3594	0.0
j tʃ	0.15	10	2613	2904	0.002
ʃ tʃʰ	0.15	1	645	122	1.0
x n	0.14	12	2273	5283	0.0
n tʰ	0.13	2	5283	70	0.499
m s	0.12	9	3003	2536	0.004
ʎ k	0.12	7	1500	3094	0.015
ʃ q	0.11	3	645	1431	0.249
x m	0.11	8	2273	3003	0.008
w k'	0.11	2	2154	199	0.499
x l	0.08	2	2273	244	0.499
s m	0.07	7	2536	3003	0.015
x tʰ	0.07	1	2273	70	1.0
ʎ tʃʰ	0.06	1	1500	122	1.0
l k	0.06	2	244	3094	0.499
w q	0.06	4	2154	1431	0.124
n s	0.06	8	5283	2536	0.008
s ɲ	0.04	3	2536	926	0.249
s w	0.03	4	2536	2154	0.124
l q	0.03	1	244	1431	1.0
ʎ w	0.03	3	1500	2154	0.249
j pʰ	0.03	1	2613	174	1.0
ʎ tʃ	0.02	3	1500	2904	0.249
r tʃ	0.02	4	2902	2904	0.124
j l	0.02	1	2613	244	1.0
w r	0.02	3	2154	2902	0.249
j kʰ	0.02	1	2613	280	1.0
h w	0.01	1	800	2154	1.0
ʃ r	0.01	1	645	2902	1.0
w t	0.01	2	2154	3594	0.499
j ɲ	0.0	1	2613	926	1.0
s ʎ	0.0	1	2536	1500	1.0
w j	0.0	1	2154	2613	1.0
w tʃ	0.0	1	2154	2904	1.0
w k	0.0	1	2154	3094	1.0
j p	0.0	1	2613	3517	1.0
s n	0.0	1	2536	5283	1.0
r n	0.0	1	2902	5283	1.0
