+ant,+cont	l,s,z
+voice,-cont	b,d,m,n,ɡ
+voice,-delrel	b,d,ɡ
+voice,-low	E,I,O,U,e,i,o,u,ɡ
+voice,-nasal	A,E,I,O,U,a,b,d,e,i,j,l,o,u,v,w,z,ɡ,ʁ,ʒ
+voice,-nasal,-strid	d,j,l
+voice,-nasal,-syllabic	b,d,j,l,v,w,z,ɡ,ʁ,ʒ
+voice,-son	b,d,v,z,ɡ,ʒ
-ant	j,ʃ,ʒ
-ant,-back	j
-ant,-voice	ʃ
-back	E,I,e,i,j
-back,-high	E,e
-back,-high,-stress	e
-back,-stress	e,i
-cons	A,E,I,O,U,a,e,i,j,o,u,v,w
-cons,-syllabic	j,v,w
-cont	b,d,k,m,n,p,t,ɡ
-delrel	b,d,k,p,t,ɡ
-delrel,-strid	d,t
-delrel,-voice	k,p,t
-high	A,E,O,a,e,o
-high,-low	E,O,e,o
-high,-low,-stress	e,o
-high,-stress	a,e,o
-low	E,I,O,U,e,i,k,o,u,ɡ,χ
-low,-stress	e,i,o,u
-nasal	A,E,I,O,U,a,b,d,e,f,h,i,j,k,l,o,p,s,t,u,v,w,z,ɡ,ʁ,ʃ,ʒ,χ
-nasal,-strid	d,j,l,t
-nasal,-syllabic	b,d,f,h,j,k,l,p,s,t,v,w,z,ɡ,ʁ,ʃ,ʒ,χ
-son	b,d,f,h,k,p,s,t,v,z,ɡ,ʃ,ʒ,χ
-stress	a,e,i,o,u
-strid,-voice	t
-voice	f,h,k,p,s,t,ʃ,χ
