ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɴ q'	39.31	5	78	166	0.062
ŋ kʰ	6.46	2	45	280	0.499
ʃ pʰ	4.53	5	645	174	0.062
ɲ tʃʰ	4.5	5	926	122	0.062
j q'	1.72	6	2567	166	0.031
j r	1.47	23	2567	2858	0.0
m pʰ	1.42	6	2969	174	0.031
l m	1.42	7	237	2969	0.015
s p'	1.41	6	2536	205	0.031
x j	1.41	20	2255	2567	0.0
r kʰ	1.25	7	2858	280	0.015
ʃ w	0.94	8	645	2147	0.008
j s	0.9	17	2567	2536	0.0
r w	0.85	16	2858	2147	0.0
x p	0.83	18	2255	3517	0.0
j t'	0.72	5	2567	277	0.062
x w	0.71	13	2255	2147	0.0
ʎ k'	0.61	3	1500	199	0.249
j tʃʰ	0.59	3	2567	122	0.249
ʎ m	0.55	11	1500	2969	0.001
w tʃ'	0.54	4	2147	282	0.124
r t	0.45	15	2858	3594	0.0
l k'	0.43	1	237	199	1.0
n r	0.35	16	5283	2858	0.0
s t	0.32	12	2536	3594	0.0
j tʃ	0.27	10	2567	2904	0.002
ʃ tʃʰ	0.26	1	645	122	1.0
x n	0.25	12	2255	5283	0.0
n tʰ	0.22	2	5283	70	0.499
m s	0.22	9	2969	2536	0.004
ʎ k	0.22	7	1500	3057	0.015
ʃ q	0.2	3	645	1431	0.249
x m	0.19	8	2255	2969	0.008
w k'	0.19	2	2147	199	0.499
x l	0.15	2	2255	237	0.499
s m	0.13	7	2536	2969	0.015
x tʰ	0.13	1	2255	70	1.0
l k	0.11	2	237	3057	0.499
ʎ tʃʰ	0.11	1	1500	122	1.0
w q	0.11	4	2147	1431	0.124
n s	0.1	8	5283	2536	0.008
s ɲ	0.08	3	2536	926	0.249
l q	0.06	1	237	1431	1.0
s w	0.06	4	2536	2147	0.124
ʎ w	0.06	3	1500	2147	0.249
j pʰ	0.05	1	2567	174	1.0
ʎ tʃ	0.04	3	1500	2904	0.249
r tʃ	0.04	4	2858	2904	0.124
j l	0.03	1	2567	237	1.0
w r	0.03	3	2147	2858	0.249
j kʰ	0.03	1	2567	280	1.0
h w	0.01	1	800	2147	1.0
ʃ r	0.01	1	645	2858	1.0
w t	0.01	2	2147	3594	0.499
j ɲ	0.01	1	2567	926	1.0
s ʎ	0.01	1	2536	1500	1.0
w j	0.0	1	2147	2567	1.0
w tʃ	0.0	1	2147	2904	1.0
w k	0.0	1	2147	3057	1.0
j p	0.0	1	2567	3517	1.0
s n	0.0	1	2536	5283	1.0
r n	0.0	1	2858	5283	1.0
