ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
nd w	268.57	32	1597	469	0.0
ŋ w	167.54	8	160	469	0.007
z gw	103.5	10	555	342	0.002
dʒ gw	75.47	6	274	342	0.029
ʒ w	45.9	4	146	469	0.122
tʃ kw	26.27	12	2367	455	0.0
nʱ w	15.77	5	664	469	0.06
d w	7.28	5	1439	469	0.06
ɲ w	5.66	4	1185	469	0.122
s t	2.69	7	1369	2614	0.014
ɲdʒ gw	1.61	1	356	342	1.0
tʃ w	1.59	3	2367	469	0.247
mʱ w	1.12	1	373	469	1.0
pf j	0.77	1	487	523	1.0
g ɦ	0.3	1	1366	483	1.0
d ʋ	0.16	1	1439	835	1.0
k r	0.12	4	3878	6881	0.122
p r	0.08	2	1376	6881	0.498
d r	0.02	1	1439	6881	1.0
