segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t|k|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-cont,-voice,+back +cor,+cont,+cons	0.0011	47470	114048	188812	0.0
[d|t] [ʂ|ɕ]	-strid,+back -ant,-voice	0.0011	13070	70687	23096	0.0
[r|b|z|ɣ|ʂ|s|ʐ|m|ɡ|t|x|f|k|d|l|n|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|d|tʲ|ɕ|n|l|dʲ]	+back,+cons +cor,+cons	0.0011	110830	332850	353005	0.0
[d|t] [ʑ|ɕ|zʲ|sʲ]	-strid,+back -back,+strid	0.001	13018	70687	23288	0.0
[r|b|z|ɣ|ʂ|s|ʐ|v|m|ɡ|t|x|f|k|d|l|n|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|d|tʲ|ɕ|n|l|dʲ]	-syll,+back +cor,+cons	0.001	113860	359915	353005	0.0
[t] [ʑ|ʐ|ʂ|ɕ]	-strid,-voice,+back -ant,+strid	0.001	13070	58828	28556	0.0
[d|t] [xʲ|fʲ|ɕ|sʲ]	-strid,+back -back,+cont,-voice	0.001	13001	70687	23655	0.0
[ʂ|s|t|x|f|k|p] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	-voice,+back +cons	0.001	93694	182851	476038	0.0
[t] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-strid,-voice,+back +cor,+cont,+cons	0.001	33402	58828	188812	0.0
[d|t] [xʲ|z|ɣ|ʂ|s|sʲ|zʲ|ʐ|ʑ|x|f|ɕ|fʲ]	-strid,+back +cont,-son	0.001	28421	70687	113872	0.0
[n|d|t] [ɕ|ʂ|s|sʲ]	-cont,+back,+ant -voice,+strid	0.001	29343	107960	79549	0.0
[t|k|p] [xʲ|z|r|ɣ|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|ʑ|x|f|ɕ|l|fʲ]	-cont,-voice,+back +cont,+cons	0.001	47666	114048	201777	0.0
[s|t] [ɕ|ʂ|s|sʲ]	-voice,+ant,+back -voice,+strid	0.001	29406	110494	79549	0.0
