segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[N|n] [s|p|h|g|d|b|t|k|f]	+cor,+nasal -long,-son	0.0011	18230	40387	231289	0.0
[n] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	-long,+cor,+nasal -son	0.0011	18241	39661	237786	0.0
[n|p|k|g|d|b|t|m] [s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S]	-long,-cont +cons	0.0011	56089	230093	392135	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [n|s|j|d|t|r|l]	+cons,-long -long,+cor	0.0011	56931	378692	246445	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S]	-cont +cons	0.0011	56526	234650	392135	0.0
[N|n] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cor,+nasal -son	0.0011	18241	40387	237786	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [n|s|d|t|r|l]	+cons,-long +cons,-long,+cor	0.0011	56482	378692	245081	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [n|s|j|d|t|r|l]	+cons -long,+cor	0.0011	57508	392135	246445	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [n|s|d|t|r|l]	+cons +cons,-long,+cor	0.0011	57057	392135	245081	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [l|D|n|s|R|j|d|L|t|S|N|r|T]	+cons,-long +cor	0.0011	56953	378692	255915	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [n|s|j|d|t|r|l]	-long -long,+cor	0.0011	56938	393408	246445	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [l|D|n|s|R|d|L|t|S|N|r|T]	+cons,-long +cons,+cor	0.0011	56504	378692	254551	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [n|s|d|t|r|l]	-long +cons,-long,+cor	0.0011	56489	393408	245081	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [n|s|j|d|t|r|l]	-syll -long,+cor	0.0011	57515	406851	246445	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [l|D|n|s|R|j|d|L|t|S|N|r|T]	+cons +cor	0.0011	57530	392135	255915	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [s|p|t|k|f]	+cons,-long -voice,-long	0.0011	47914	378692	184446	0.0
[n|s|d|t|r|l] [s|p|h|g|d|b|t|k|f]	+cons,-long,+cor -long,-son	0.0011	43083	245081	231289	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [n|s|d|t|r|l]	-syll +cons,-long,+cor	0.0011	57064	406851	245081	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [l|D|n|s|R|d|L|t|S|N|r|T]	+cons +cons,+cor	0.0011	57079	392135	254551	0.0
[n|s|j|d|t|r|l] [s|p|h|g|d|b|t|k|f]	-long,+cor -long,-son	0.0011	43083	246445	231289	0.0
[n|p|k|g|d|b|t|m] [n|s|j|d|t|r|l]	-long,-cont -long,+cor	0.001	42788	230093	246445	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [l|D|n|s|R|j|d|L|t|S|N|r|T]	-long +cor	0.001	56960	393408	255915	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [n|s|j|d|t|r|l]	-cont -long,+cor	0.001	43156	234650	246445	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [l|D|n|s|R|d|L|t|S|N|r|T]	-long +cons,+cor	0.001	56511	393408	254551	0.0
[n|s|d|t|r|l] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cons,-long,+cor -son	0.001	43095	245081	237786	0.0
[n|p|k|g|d|b|t|m] [n|s|d|t|r|l]	-long,-cont +cons,-long,+cor	0.001	42391	230093	245081	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [P|s|p|K|t|S|F|T|k|f]	+cons,-long -voice	0.001	47926	378692	190670	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [l|D|n|s|R|j|d|L|t|S|N|r|T]	-syll +cor	0.001	57537	406851	255915	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [n|s|d|t|r|l]	-cont +cons,-long,+cor	0.001	42759	234650	245081	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [s|p|t|k|f]	+cons -voice,-long	0.001	47929	392135	184446	0.0
[n|s|j|d|t|r|l] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	-long,+cor -son	0.001	43095	246445	237786	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [s|p|t|k|f]	-long -voice,-long	0.001	47916	393408	184446	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [s|p|h|g|d|b|t|k|f]	+cons,+cor -long,-son	0.001	43156	254551	231289	0.0
[n] [d|s|t]	-long,+cor,+nasal -long,+cor,-son	0.001	12539	39661	125391	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [s|j|h|w|r|l|f]	-cont +cont,-long	0.001	34770	234650	163315	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [l|D|n|s|R|d|L|t|S|N|r|T]	-syll +cons,+cor	0.001	57086	406851	254551	0.0
